from,to,weight,edge_type
184774446,184783021,101.141338087,residential
184783021,184627212,51.8367562623,residential
184627212,184732486,50.6534108353,residential
184732486,184735863,99.3519198709,residential
184688716,184774446,157.546130363,residential
184732480,184732483,141.86847742,residential
184732483,184697422,200.950721106,residential
184697422,184732486,159.355364776,residential
184732486,184702137,164.06290367,residential
184702137,184627234,28.979842846,residential
184627234,184727866,150.055758271,residential
184688720,184697422,101.134973593,tertiary
184735857,184735859,142.108961351,residential
184735859,184697425,200.862168849,residential
184697425,184735863,159.761428356,residential
184735863,184702141,161.254857943,residential
184702141,184735868,50.0171955526,residential
184735868,184727868,130.802182286,residential
184697422,184697425,104.126612827,tertiary
184697425,184682841,100.342507646,tertiary
184682841,184697432,459.27710859,tertiary
184775637,184760177,1594.06669182,residential
184760177,184787739,1617.56594924,residential
184787739,184628859,213.298110997,residential
184628859,184625322,144.07740322,residential
184625322,184625314,411.410082953,residential
184625314,184753496,880.609968285,residential
184753496,184660125,666.264056907,residential
184660125,184716483,541.123516597,residential
184716483,184635012,772.043846647,residential
184635012,184787795,1634.84203375,residential
184787795,184720301,1028.30598944,residential
184720301,184779512,1602.6797043,residential
184779512,184690158,1201.8181323,residential
184690158,184731140,350.419565394,residential
184731140,184722741,678.593608167,residential
184722741,184769093,172.728351955,residential
184697432,184716483,845.27300802,tertiary
184716483,184652053,141.361682026,tertiary
184652053,184666120,941.894797187,tertiary
184666120,184716489,458.291820896,tertiary
184716489,184716491,74.2240352627,tertiary
184729038,184639086,342.694939955,residential
184639086,184787795,1262.5201545,residential
184787795,184758726,1603.60120389,residential
184758726,184775529,2421.5376131,residential
184716491,184758709,804.853233054,residential
184758709,184758726,1602.26218934,residential
184758726,184720310,1009.68749966,residential
184716489,184716503,108.90728341,tertiary
184669570,184669598,158.425237869,residential
184719506,184747822,170.83658503,residential
184669598,184739797,89.5572094467,residential
184739797,184747822,118.218906187,residential
184747822,184746132,95.6733688256,residential
184746132,184726090,220.847009156,residential
184722324,184771673,141.310461784,residential
184708856,184708859,109.792693733,tertiary
184708859,184708865,154.8987904,tertiary
184708865,184708867,166.524875888,tertiary
184708867,184701604,260.81658808,tertiary
184701604,184708875,486.80450393,tertiary
184653570,184653623,423.375283754,residential
184701593,184701604,219.880837753,residential
184696228,184701593,221.801342936,residential
184696225,184696228,108.99058554,residential
184696228,184659502,95.5447373775,residential
184787480,184653570,472.11584623,residential
184653570,184787518,745.6226026,residential
184710199,184628077,894.022395972,residential
184628077,184637212,111.217803803,residential
184637212,184787518,1078.47086474,residential
184787518,184787942,807.507758561,residential
184775469,184660885,206.902129425,residential
184660885,184634135,248.578421404,residential
184634135,184653694,231.68942767,residential
184653694,184655115,737.385796545,residential
184655115,184775515,216.713163765,residential
184775515,184769976,1200.42826623,residential
184769976,184775529,402.465242347,residential
184775529,184720320,991.426649528,residential
184720320,184775550,1602.87284093,residential
184769976,184770008,1032.78250762,residential
184758709,184653840,498.545235742,residential
184653840,184749359,470.231625902,residential
184749359,184663868,46.2707837692,residential
184663868,184775515,1398.8175095,residential
184775515,184656856,618.667652871,residential
184656856,184770008,802.823003992,residential
184770008,184781085,810.139935331,residential
184781085,184764611,389.260692642,residential
184764611,184744512,2103.66350268,residential
184637212,184744496,2204.83045194,residential
184744496,184744512,515.400004964,residential
184744512,184744520,369.283221077,residential
184784751,184784802,1585.3087498,residential
184784802,184744520,176.815619381,residential
184666665,184652515,99.1929248022,residential
184652513,184652515,39.2321614731,residential
184652515,184652517,66.4121904449,residential
184652517,184652517,0.0,residential
184760994,184649458,765.415948387,residential
184649458,184761001,613.470939129,residential
184703707,184431785,1599.5990552,residential
184750737,184637776,400.518099737,residential
184637776,184750740,801.877395881,residential
184750740,184637747,535.038673981,residential
184637747,184625373,500.7148181,residential
184625373,184750743,593.006403424,residential
184750743,184750766,1330.50737874,residential
184778616,184723970,137.536961309,residential
184723973,1891942147,13.1540363312,residential
1891942117,184723976,12.9410148346,residential
1891942150,1891942117,213.299431655,residential
1891942117,1891942147,66.7999795044,residential
1891942147,184778616,161.473432685,residential
184723970,184723973,66.4723053466,residential
184723973,184723976,67.1053452022,residential
184723976,184723980,213.360660923,residential
184710696,184749259,71.0067768528,residential
184749259,184710878,428.978144093,residential
184710878,184772228,27.5028126258,residential
184772228,184739354,367.501106145,residential
184739354,184657706,68.3192930556,residential
184657706,184694719,198.847104198,residential
184694719,184694804,112.352874934,residential
184694804,184772279,121.720483339,residential
184772279,184722986,454.56892011,residential
184722986,184625333,356.05459265,residential
184625333,184772320,1025.81644708,residential
184694719,184694742,302.17712513,residential
184694742,184694804,304.677090394,residential
184739354,184678869,96.8803713651,residential
184678940,184772228,214.176056135,residential
184710870,184710696,394.40916541,tertiary
184678869,184678940,337.887234342,residential
184649420,184648036,132.870243415,residential
184648036,184708639,493.108749024,residential
184728697,184728700,226.806562169,tertiary
184728700,184728706,169.27757489,tertiary
184728706,184726257,295.066333208,tertiary
184726257,184728735,131.529028321,tertiary
184728735,184728757,98.5650686653,tertiary
184728757,184728775,505.16112032,tertiary
184728775,184728779,227.039685199,tertiary
184728779,184728783,156.574384345,tertiary
